size1,size3, size3, timestamp,
,17, ,1557393186,
, ,17,1557393187,
18, , ,1557393188,
,16, ,1557393188,
, ,17,1557393189,
18, , ,1557393190,
,17, ,1557393190,
, ,17,1557393191,
18, , ,1557393192,
,16, ,1557393192,
, ,17,1557393193,
18, , ,1557393194,
,17, ,1557393194,
, ,17,1557393195,
19, , ,1557393196,
,17, ,1557393196,
, ,17,1557393197,
18, , ,1557393198,
,16, ,1557393198,
, ,17,1557393199,
19, , ,1557393200,
,21, ,1557393200,
, ,17,1557393201,
18, , ,1557393202,
,17, ,1557393202,
, ,17,1557393203,
18, , ,1557393204,
,16, ,1557393205,
, ,17,1557393205,
18, , ,1557393206,
,16, ,1557393207,
, ,16,1557393207,
17, , ,1557393208,
,17, ,1557393209,
, ,17,1557393210,
18, , ,1557393210,
,17, ,1557393211,
, ,17,1557393212,
18, , ,1557393212,
,16, ,1557393213,
, ,17,1557393214,
18, , ,1557393214,
,17, ,1557393215,
, ,17,1557393216,
19, , ,1557393216,
,16, ,1557393217,
, ,17,1557393218,
18, , ,1557393218,
,17, ,1557393219,
, ,17,1557393220,
21, , ,1557393220,
,16, ,1557393221,
, ,17,1557393222,
18, , ,1557393222,
,17, ,1557393223,
, ,17,1557393224,
20, , ,1557393225,
,17, ,1557393225,
, ,17,1557393226,
19, , ,1557393227,
,18, ,1557393227,
, ,17,1557393228,
18, , ,1557393229,
,17, ,1557393229,
, ,17,1557393230,
19, , ,1557393231,
,17, ,1557393231,
, ,17,1557393232,
18, , ,1557393233,
,17, ,1557393233,
, ,17,1557393234,
18, , ,1557393235,
,17, ,1557393235,
, ,17,1557393236,
18, , ,1557393237,
,17, ,1557393237,
, ,17,1557393238,
18, , ,1557393239,
,17, ,1557393239,
, ,17,1557393240,
18, , ,1557393241,
,17, ,1557393242,
, ,18,1557393242,
18, , ,1557393243,
,17, ,1557393244,
, ,17,1557393244,
18, , ,1557393245,
,17, ,1557393246,
, ,17,1557393246,
18, , ,1557393247,
,17, ,1557393248,
, ,18,1557393249,
18, , ,1557393249,
,17, ,1557393250,
, ,17,1557393251,
18, , ,1557393251,
,17, ,1557393252,
, ,17,1557393253,
18, , ,1557393253,
,18, ,1557393254,
, ,20,1557393255,
19, , ,1557393255,
,17, ,1557393256,
, ,17,1557393257,
18, , ,1557393257,
,17, ,1557393258,
,17, ,1557393281,
, ,17,1557393281,
18, , ,1557393282,
,17, ,1557393283,
, ,17,1557393283,
19, , ,1557393284,
,17, ,1557393285,
, ,17,1557393285,
19, , ,1557393286,
,18, ,1557393287,
, ,16,1557393288,
18, , ,1557393288,
,17, ,1557393289,
, ,17,1557393290,
19, , ,1557393290,
,18, ,1557393291,
, ,17,1557393292,
18, , ,1557393292,
,18, ,1557393293,
, ,17,1557393294,
19, , ,1557393294,
,20, ,1557393295,
, ,24,1557393296,
24, , ,1557393296,
,19, ,1557393297,
, ,23,1557393298,
23, , ,1557393298,
,17, ,1557393299,
, ,18,1557393300,
19, , ,1557393300,
,16, ,1557393301,
, ,17,1557393302,
18, , ,1557393303,
,17, ,1557393303,
, ,17,1557393304,
18, , ,1557393305,
,17, ,1557393305,
, ,17,1557393306,
18, , ,1557393307,
,17, ,1557393307,
, ,17,1557393308,
18, , ,1557393309,
,16, ,1557393309,
, ,17,1557393310,
18, , ,1557393311,
,17, ,1557393311,
, ,17,1557393312,
24, , ,1557393313,
,16, ,1557393313,
, ,17,1557393314,
20, , ,1557393315,
,17, ,1557393315,
, ,16,1557393316,
21, , ,1557393317,
,18, ,1557393318,
, ,16,1557393318,
19, , ,1557393319,
,17, ,1557393320,
, ,18,1557393320,
19, , ,1557393321,
,17, ,1557393322,
, ,17,1557393322,
18, , ,1557393323,
,17, ,1557393324,
, ,17,1557393324,
19, , ,1557393325,
,17, ,1557393326,
, ,19,1557393327,
21, , ,1557393327,
,17, ,1557393328,
, ,18,1557393329,
19, , ,1557393329,
,23, ,1557393330,
, ,17,1557393331,
18, , ,1557393331,
,21, ,1557393332,
, ,17,1557393333,
18, , ,1557393333,
,19, ,1557393334,
, ,17,1557393335,
18, , ,1557393335,
,19, ,1557393336,
, ,17,1557393337,
18, , ,1557393337,
,19, ,1557393338,
, ,17,1557393339,
18, , ,1557393340,
,16, ,1557393340,
, ,17,1557393341,
19, , ,1557393342,
,17, ,1557393342,
, ,19,1557393343,
18, , ,1557393344,
,17, ,1557393344,
, ,18,1557393345,
19, , ,1557393346,
,17, ,1557393346,
, ,17,1557393347,
18, , ,1557393348,
,17, ,1557393348,
, ,17,1557393349,
18, , ,1557393350,
,17, ,1557393350,
, ,17,1557393351,
18, , ,1557393352,
,17, ,1557393352,
, ,17,1557393353,
17, , ,1557393354,
,16, ,1557393354,
, ,17,1557393355,
18, , ,1557393356,
,18, ,1557393357,
, ,17,1557393357,
19, , ,1557393358,
,17, ,1557393359,
, ,18,1557393359,
20, , ,1557393360,
,17, ,1557393361,
, ,17,1557393361,
18, , ,1557393362,
,18, ,1557393363,
, ,17,1557393363,
18, , ,1557393364,
,17, ,1557393365,
, ,17,1557393366,
19, , ,1557393366,
,17, ,1557393367,
, ,17,1557393368,
18, , ,1557393368,
,17, ,1557393369,
, ,17,1557393370,
18, , ,1557393370,
,17, ,1557393371,
, ,17,1557393372,
18, , ,1557393372,
,17, ,1557393373,
, ,17,1557393374,
17, , ,1557393374,
,17, ,1557393375,
, ,17,1557393376,
19, , ,1557393376,
,22, ,1557393377,
, ,17,1557393378,
18, , ,1557393379,
,22, ,1557393379,
, ,17,1557393380,
18, , ,1557393381,
,17, ,1557393381,
, ,17,1557393382,
18, , ,1557393383,
,17, ,1557393383,
, ,20,1557393384,
18, , ,1557393385,
,17, ,1557393385,
, ,20,1557393386,
18, , ,1557393387,
,17, ,1557393387,
, ,23,1557393388,
18, , ,1557393389,
,18, ,1557393389,
, ,19,1557393390,
18, , ,1557393391,
,17, ,1557393391,
, ,17,1557393392,
19, , ,1557393393,
,17, ,1557393394,
, ,17,1557393394,
18, , ,1557393395,
,17, ,1557393396,
, ,17,1557393396,
18, , ,1557393397,
,16, ,1557393398,
, ,17,1557393398,
18, , ,1557393399,
,17, ,1557393400,
, ,18,1557393400,
18, , ,1557393401,
,17, ,1557393402,
, ,17,1557393403,
22, , ,1557393403,
18, , ,1557393426,
,17, ,1557393426,
, ,17,1557393427,
18, , ,1557393428,
,16, ,1557393428,
, ,17,1557393429,
18, , ,1557393430,
,16, ,1557393430,
, ,17,1557393431,
18, , ,1557393432,
,17, ,1557393433,
, ,21,1557393433,
18, , ,1557393434,
,16, ,1557393435,
, ,18,1557393435,
18, , ,1557393436,
,17, ,1557393437,
, ,18,1557393437,
18, , ,1557393438,
,17, ,1557393439,
, ,17,1557393439,
18, , ,1557393440,
,16, ,1557393441,
, ,17,1557393442,
18, , ,1557393442,
,17, ,1557393443,
, ,17,1557393444,
18, , ,1557393444,
,17, ,1557393445,
, ,17,1557393446,
17, , ,1557393446,
,17, ,1557393447,
, ,16,1557393448,
22, , ,1557393448,
,17, ,1557393449,
, ,17,1557393450,
19, , ,1557393450,
,17, ,1557393451,
, ,17,1557393452,
18, , ,1557393452,
,17, ,1557393453,
, ,17,1557393454,
18, , ,1557393455,
,17, ,1557393455,
, ,17,1557393456,
18, , ,1557393457,
,17, ,1557393457,
, ,17,1557393458,
18, , ,1557393459,
,17, ,1557393459,
, ,17,1557393460,
18, , ,1557393461,
,17, ,1557393461,
, ,17,1557393462,
18, , ,1557393463,
,16, ,1557393463,
, ,16,1557393464,
18, , ,1557393465,
,17, ,1557393465,
, ,16,1557393466,
18, , ,1557393467,
,21, ,1557393468,
, ,17,1557393468,
18, , ,1557393469,
,17, ,1557393470,
, ,17,1557393470,
18, , ,1557393471,
,17, ,1557393472,
