size1, size2, size3, timestamp
, 17, , 1557396150
, , 17, 1557396150
18, , , 1557396151
, 17, , 1557396152
, , 17, 1557396152
18, , , 1557396153
, 17, , 1557396154
, , 18, 1557396154
18, , , 1557396155
, 20, , 1557396156
, , 18, 1557396156
17, , , 1557396157
, 18, , 1557396158
, , 17, 1557396158
19, , , 1557396159
, 16, , 1557396160
, , 17, 1557396160
18, , , 1557396161
, 18, , 1557396162
, , 17, 1557396162
18, , , 1557396163
, 17, , 1557396164
, , 18, 1557396164
18, , , 1557396165
, 17, , 1557396166
, , 16, 1557396167
18, , , 1557396167
, 17, , 1557396169
, , 17, 1557396169
19, , , 1557396169
, 17, , 1557396171
, , 17, 1557396171
17, , , 1557396171
, 17, , 1557396173
, , 17, 1557396173
, , 17, 1557396214
18, , , 1557396215
, 17, , 1557396216
, , 17, 1557396216
18, , , 1557396217
, 17, , 1557396218
, , 17, 1557396218
18, , , 1557396219
, 17, , 1557396220
, , 16, 1557396220
18, , , 1557396221
, 17, , 1557396222
, , 17, 1557396222
18, , , 1557396223
, 16, , 1557396224
, , 17, 1557396224
18, , , 1557396225
, 18, , 1557396226
, , 17, 1557396226
18, , , 1557396227
, 17, , 1557396228
, , 17, 1557396228
18, , , 1557396229
, 17, , 1557396230
, , 17, 1557396230
18, , , 1557396231
, 17, , 1557396232
, , 16, 1557396232
18, , , 1557396233
, 16, , 1557396234
, , 17, 1557396234
18, , , 1557396235
, 17, , 1557396236
, , 17, 1557396236
18, , , 1557396237
, 17, , 1557396238
, , 17, 1557396238
18, , , 1557396239
, 17, , 1557396240
, , 17, 1557396240
18, , , 1557396241
, 16, , 1557396242
, , 23, 1557396243
18, , , 1557396243
, 18, , 1557396245
, , 17, 1557396245
18, , , 1557396245
, 17, , 1557396247
, , 17, 1557396247
18, , , 1557396247
, 17, , 1557396249
, , 17, 1557396249
18, , , 1557396250
, 17, , 1557396251
, , 17, 1557396251
18, , , 1557396252
, 17, , 1557396253
, , 17, 1557396253
18, , , 1557396254
, 17, , 1557396255
, , 17, 1557396255
18, , , 1557396256
, 17, , 1557396257
, , 16, 1557396257
18, , , 1557396258
, 17, , 1557396259
, , 17, 1557396259
18, , , 1557396260
, 18, , 1557396261
, , 17, 1557396261
18, , , 1557396262
, 16, , 1557396263
, , 17, 1557396263
18, , , 1557396264
, 18, , 1557396265
, , 17, 1557396265
18, , , 1557396266
, 17, , 1557396267
, , 17, 1557396267
18, , , 1557396268
, 17, , 1557396269
, , 17, 1557396269
18, , , 1557396270
, 17, , 1557396271
, , 17, 1557396271
19, , , 1557396272
, 17, , 1557396273
, , 17, 1557396273
18, , , 1557396274
, 17, , 1557396275
, , 17, 1557396275
18, , , 1557396276
, 17, , 1557396277
, , 17, 1557396277
18, , , 1557396278
, 17, , 1557396279
, , 17, 1557396279
18, , , 1557396280
, 17, , 1557396281
, , 17, 1557396282
18, , , 1557396282
, 17, , 1557396284
, , 17, 1557396284
18, , , 1557396284
, 17, , 1557396286
, , 16, 1557396286
18, , , 1557396287
, 17, , 1557396288
, , 18, 1557396288
19, , , 1557396289
, 18, , 1557396290
, , 17, 1557396290
19, , , 1557396291
, 16, , 1557396292
, , 17, 1557396292
18, , , 1557396293
, 19, , 1557396294
, , 17, 1557396294
18, , , 1557396295
, 20, , 1557396296
, , 16, 1557396296
18, , , 1557396297
, 17, , 1557396298
, , 17, 1557396298
19, , , 1557396299
, 18, , 1557396300
, , 17, 1557396300
18, , , 1557396301
, 17, , 1557396302
, , 17, 1557396302
18, , , 1557396303
, 16, , 1557396304
, , 17, 1557396304
18, , , 1557396305
, 17, , 1557396306
, , 17, 1557396306
18, , , 1557396307
, 17, , 1557396308
, , 17, 1557396308
18, , , 1557396309
, 17, , 1557396310
, , 17, 1557396310
18, , , 1557396311
, 17, , 1557396312
, , 17, 1557396312
18, , , 1557396313
, 18, , 1557396314
, , 17, 1557396314
19, , , 1557396315
, 17, , 1557396316
, , 17, 1557396316
18, , , 1557396317
, 17, , 1557396318
, , 17, 1557396318
18, , , 1557396319
, 17, , 1557396321
, , 17, 1557396321
18, , , 1557396321
, 17, , 1557396323
, , 17, 1557396323
18, , , 1557396323
, 17, , 1557396325
, , 17, 1557396325
18, , , 1557396326
, 17, , 1557396327
, , 17, 1557396327
18, , , 1557396328
, 22, , 1557396329
, , 18, 1557396329
18, , , 1557396330
, 17, , 1557396331
, , 17, 1557396331
18, , , 1557396332
, 18, , 1557396333
, , 19, 1557396333
18, , , 1557396334
, 20, , 1557396335
, , 18, 1557396335
, 17, , 1557396372
, , 18, 1557396372
18, , , 1557396373
, 17, , 1557396374
, , 17, 1557396374
18, , , 1557396375
, 16, , 1557396376
, , 17, 1557396376
20, , , 1557396377
, 17, , 1557396378
, , 18, 1557396378
18, , , 1557396379
, 17, , 1557396380
, , 18, 1557396380
18, , , 1557396381
, 18, , 1557396382
, , 18, 1557396382
19, , , 1557396383
, 17, , 1557396384
, , 16, 1557396384
20, , , 1557396385
, 17, , 1557396386
, , 17, 1557396386
18, , , 1557396387
, 17, , 1557396388
, , 17, 1557396388
18, , , 1557396389
, 17, , 1557396390
, , 17, 1557396390
18, , , 1557396391
, 17, , 1557396392
, , 17, 1557396392
18, , , 1557396393
, 17, , 1557396394
, , 16, 1557396394
18, , , 1557396395
, 19, , 1557396397
, , 17, 1557396397
18, , , 1557396397
, 17, , 1557396399
, , 17, 1557396399
18, , , 1557396399
, 17, , 1557396401
, , 17, 1557396401
18, , , 1557396402
, 16, , 1557396403
, , 17, 1557396403
18, , , 1557396404
, 17, , 1557396405
, , 17, 1557396405
21, , , 1557396406
, , 17, 1557396407
18, , , 1557396408
, 17, , 1557396408
, 18, , 1557396409
, , 17, 1557396409
19, , , 1557396410
, , 17, 1557396411
, 17, , 1557396411
18, , , 1557396412
, 18, , 1557396413
, , 17, 1557396413
18, , , 1557396414
, 17, , 1557396415
, , 17, 1557396415
18, , , 1557396416
, 17, , 1557396417
, , 17, 1557396417
18, , , 1557396418
, 17, , 1557396419
, , 17, 1557396419
18, , , 1557396420
, 17, , 1557396421
, , 17, 1557396421
19, , , 1557396422
, 16, , 1557396423
, , 23, 1557396423
19, , , 1557396424
, 23, , 1557396425
, , 16, 1557396425
19, , , 1557396426
, 19, , 1557396427
, , 18, 1557396427
18, , , 1557396428
, 17, , 1557396429
, , 17, 1557396429
26, , , 1557396430
, 18, , 1557396431
, , 17, 1557396431
20, , , 1557396432
, 16, , 1557396433
, , 17, 1557396433
18, , , 1557396434
, , 17, 1557396436
, 17, , 1557396436
18, , , 1557396436
, , 17, 1557396438
, 17, , 1557396438
19, , , 1557396438
, 17, , 1557396440
, , 17, 1557396440
18, , , 1557396441
, 17, , 1557396442
, , 17, 1557396442
19, , , 1557396443
, 16, , 1557396444
, , 17, 1557396444
18, , , 1557396445
, 17, , 1557396446
, , 17, 1557396446
18, , , 1557396447
, 17, , 1557396448
, , 17, 1557396448
18, , , 1557396449
, 17, , 1557396450
, , 17, 1557396450
18, , , 1557396451
, 17, , 1557396452
, , 17, 1557396452
19, , , 1557396453
, 17, , 1557396454
, , 17, 1557396454
18, , , 1557396455
, 17, , 1557396456
, , 17, 1557396456
18, , , 1557396457
, 17, , 1557396458
, , 17, 1557396458
18, , , 1557396459
, 17, , 1557396460
, , 17, 1557396460
18, , , 1557396461
, 17, , 1557396462
, , 17, 1557396462
18, , , 1557396463
, 17, , 1557396464
, , 17, 1557396464
18, , , 1557396465
, 18, , 1557396466
, , 17, 1557396466
18, , , 1557396467
, 17, , 1557396468
, , 17, 1557396468
18, , , 1557396469
, 17, , 1557396471
, , 17, 1557396471
20, , , 1557396471
, , 21, 1557396473
, 19, , 1557396473
18, , , 1557396473
, , 17, 1557396475
, 18, , 1557396475
18, , , 1557396475
, , 17, 1557396477
, 17, , 1557396477
18, , , 1557396478
, 17, , 1557396479
, , 17, 1557396479
18, , , 1557396480
, , 17, 1557396481
, 17, , 1557396481
18, , , 1557396482
, , 17, 1557396483
, 17, , 1557396483
18, , , 1557396484
, , 17, 1557396485
, 17, , 1557396485
18, , , 1557396486
, 17, , 1557396487
, , 17, 1557396487
18, , , 1557396488
, , 18, 1557396489
, 17, , 1557396489
18, , , 1557396490
, , 17, 1557396491
, 17, , 1557396491
, , 17, 1557396530
, 17, , 1557396530
18, , , 1557396531
, , 17, 1557396532
, 17, , 1557396532
18, , , 1557396533
, 17, , 1557396534
, , 17, 1557396534
18, , , 1557396535
, , 17, 1557396536
, 17, , 1557396536
18, , , 1557396537
, , 17, 1557396538
, 17, , 1557396538
18, , , 1557396539
, , 16, 1557396540
, 17, , 1557396540
18, , , 1557396541
, , 17, 1557396542
, 17, , 1557396542
17, , , 1557396543
, , 17, 1557396544
, 17, , 1557396544
18, , , 1557396545
, , 16, 1557396546
, 17, , 1557396546
18, , , 1557396547
, , 17, 1557396548
, 17, , 1557396549
18, , , 1557396549
, , 17, 1557396551
, 17, , 1557396551
19, , , 1557396551
, , 17, 1557396553
, 17, , 1557396553
18, , , 1557396553
, , 17, 1557396555
, 17, , 1557396555
19, , , 1557396556
, , 17, 1557396557
, 17, , 1557396557
17, , , 1557396558
, , 17, 1557396559
, 17, , 1557396559
18, , , 1557396560
, , 19, 1557396561
, 17, , 1557396561
18, , , 1557396562
, , 16, 1557396563
, 21, , 1557396563
18, , , 1557396564
, , 17, 1557396565
, 17, , 1557396565
22, , , 1557396566
, , 18, 1557396567
, 17, , 1557396567
18, , , 1557396568
, , 17, 1557396569
, 17, , 1557396569
18, , , 1557396570
, , 17, 1557396571
, 18, , 1557396571
18, , , 1557396572
, , 17, 1557396573
, 18, , 1557396573
18, , , 1557396574
, , 17, 1557396575
, 16, , 1557396575
19, , , 1557396576
, , 17, 1557396577
, 19, , 1557396577
